p,r,L,chunk_id,chunk_samples,seed,method,max_bond,cmi,elapsed_sec
0.050000,6,26,16,250,16003126,bmps,16,-0.01677894905016387,929.299
0.050000,6,26,18,250,18003126,bmps,16,-0.0158109402370041,916.996
0.110000,4,18,18,250,18003526,bmps,16,-0.01070611765196693,436.411
0.050000,6,26,8,250,8003126,bmps,16,0.005473708430996219,1020.409
0.050000,3,14,12,250,12002826,exact,,0.01711045769764628,1072.739
0.150000,1,6,1,250,1003626,exact,,0.007097704481896837,50.192
0.150000,1,6,3,250,3003626,exact,,0.01130615150822414,42.402
0.050000,3,14,13,250,13002826,exact,,0.02121529561964891,1077.439
0.110000,4,18,19,250,19003526,bmps,16,-0.001584295526581172,421.206
0.150000,1,6,2,250,2003626,exact,,-0.001574567492715836,51.399
0.150000,1,6,9,250,9003626,exact,,0.01290154694409649,39.308
0.150000,1,6,0,250,3626,exact,,0.008769541029180214,63.002
0.050000,3,14,6,250,6002826,exact,,0.0132942509932324,1086.044
0.150000,1,6,5,250,5003626,exact,,0.006816521835893446,51.401
0.150000,1,6,4,250,4003626,exact,,0.01691966042529947,53.799
0.050000,3,14,8,250,8002826,exact,,0.01381363552264789,1090.340
0.150000,1,6,8,250,8003626,exact,,0.005684810450779242,50.402
0.150000,1,6,6,250,6003626,exact,,0.0008420602400680899,55.801
0.150000,1,6,10,250,10003626,exact,,-0.004482735905992094,52.398
0.150000,1,6,7,250,7003626,exact,,0.002376842199812145,54.102
0.050000,3,14,10,250,10002826,exact,,0.01164968240236207,1096.441
0.150000,1,6,11,250,11003626,exact,,-0.01114737525354362,55.507
0.050000,3,14,16,250,16002826,exact,,0.01045094333402844,1103.239
0.050000,3,14,1,250,1002826,exact,,0.01255359451811297,1104.341
0.150000,1,6,12,250,12003626,exact,,0.02024710463941941,55.599
0.150000,1,6,13,250,13003626,exact,,0.01237151666307413,53.907
0.150000,1,6,18,250,18003626,exact,,-0.0008454445490092652,39.803
0.050000,6,26,17,250,17003126,bmps,16,0.01097445906650587,979.200
0.150000,1,6,14,250,14003626,exact,,0.0001035896046237959,55.699
0.050000,3,14,7,250,7002826,exact,,0.0008711356574156923,1122.341
0.050000,3,14,17,250,17002826,exact,,0.0228676746909062,1123.940
0.150000,1,6,15,250,15003626,exact,,0.01101616861313555,54.796
0.150000,1,6,19,250,19003626,exact,,0.00640654652224881,50.101
0.150000,1,6,16,250,16003626,exact,,0.0005663403093872752,57.006
0.050000,3,14,2,250,2002826,exact,,0.04304982371172447,1131.047
0.150000,1,6,17,250,17003626,exact,,-0.002059453881489308,59.401
0.150000,2,10,2,250,2003726,exact,,-0.00142485870627506,134.290
0.050000,6,26,7,250,7003126,bmps,16,-0.01076214427753443,1180.783
0.050000,6,26,10,250,10003126,bmps,16,0.01460358930345806,1180.710
0.050000,6,26,11,250,11003126,bmps,16,-0.009859994482529836,1185.790
0.050000,6,26,14,250,14003126,bmps,16,-0.005396559744361431,1190.603
0.150000,2,10,18,250,18003726,exact,,0.005437306156623734,133.791
0.150000,2,10,0,250,3726,exact,,0.008436633748256298,179.097
0.150000,2,10,8,250,8003726,exact,,0.007885053069148832,168.308
0.150000,2,10,4,250,4003726,exact,,0.009338286249643389,175.603
0.150000,2,10,1,250,1003726,exact,,0.007332863823040725,183.694
0.150000,2,10,12,250,12003726,exact,,0.002871824572819562,167.797
0.050000,6,26,5,250,5003126,bmps,16,-4.949492774902215e-05,1219.602
0.050000,6,26,12,250,12003126,bmps,16,0.02129885576831139,1216.200
0.150000,2,10,15,250,15003726,exact,,-0.003482943768330784,164.499
0.150000,2,10,7,250,7003726,exact,,0.001907257316487701,180.398
0.050000,6,26,15,250,15003126,bmps,16,0.01154063101963982,1210.506
0.150000,2,10,6,250,6003726,exact,,0.002495899447923115,186.402
0.150000,2,10,10,250,10003726,exact,,0.000315665378035412,180.998
0.150000,2,10,9,250,9003726,exact,,0.01723013218196871,181.896
0.150000,2,10,11,250,11003726,exact,,-0.008307232070800566,183.299
0.150000,2,10,3,250,3003726,exact,,-0.001656415061372584,195.798
0.150000,2,10,17,250,17003726,exact,,0.001598426874233098,173.201
0.150000,2,10,14,250,14003726,exact,,0.004974513481382701,178.407
0.150000,2,10,5,250,5003726,exact,,-0.00649385661785972,195.708
0.050000,6,26,13,250,13003126,bmps,16,0.007826645813737178,1233.698
0.150000,2,10,19,250,19003726,exact,,0.0004310380832464134,178.401
0.150000,2,10,16,250,16003726,exact,,0.00881019643730383,188.399
0.150000,2,10,13,250,13003726,exact,,0.01342484909188659,197.594
0.110000,5,22,0,250,3626,bmps,16,-0.07003616361251751,733.911
0.110000,3,14,1,250,1003426,exact,,-0.01651720130958489,1204.095
0.110000,3,14,0,250,3426,exact,,0.01831270326415131,1228.899
0.110000,3,14,4,250,4003426,exact,,0.02442128753598647,1223.092
0.110000,5,22,1,250,1003626,bmps,16,0.01553418336805646,854.399
0.110000,5,22,3,250,3003626,bmps,16,-0.02162667225562685,845.303
0.110000,3,14,6,250,6003426,exact,,0.02778322066258511,1238.597
0.110000,3,14,3,250,3003426,exact,,0.01167199540632933,1244.397
0.110000,3,14,2,250,2003426,exact,,0.02403044911774437,1249.790
0.110000,5,22,2,250,2003626,bmps,16,0.02868847835897653,862.096
0.110000,5,22,14,250,14003626,bmps,16,-0.01862457183533326,827.099
0.110000,5,22,9,250,9003626,bmps,16,-0.03020339008752103,844.886
0.110000,5,22,11,250,11003626,bmps,16,-0.05748884312670148,849.399
0.110000,5,22,8,250,8003626,bmps,16,0.02486780927670588,853.295
0.110000,5,22,6,250,6003626,bmps,16,-0.01056520915025818,855.098
0.110000,5,22,15,250,15003626,bmps,16,0.01310256383312884,849.296
0.110000,5,22,16,250,16003626,bmps,16,-0.0469087171266479,810.868
0.110000,5,22,13,250,13003626,bmps,16,-0.02392925380284049,853.988
0.110000,3,14,5,250,5003426,exact,,0.03497531428323027,1280.901
0.110000,3,14,11,250,11003426,exact,,0.01287176272830242,1258.896
0.110000,3,14,7,250,7003426,exact,,0.01458473419178424,1274.907
0.110000,3,14,9,250,9003426,exact,,0.02316246717205895,1267.892
0.110000,3,14,18,250,18003426,exact,,0.03747998171714336,1219.293
0.110000,3,14,12,250,12003426,exact,,0.004475793048565606,1241.390
0.110000,3,14,8,250,8003426,exact,,0.02325798954484767,1283.487
0.110000,3,14,10,250,10003426,exact,,0.02239518332019139,1273.792
0.110000,5,22,4,250,4003626,bmps,16,-0.04905269937645192,880.492
0.110000,5,22,5,250,5003626,bmps,16,-0.01664666641473944,887.390
0.110000,5,22,10,250,10003626,bmps,16,0.005398725264624628,884.400
0.110000,5,22,7,250,7003626,bmps,16,0.01858711024722173,889.800
0.110000,5,22,12,250,12003626,bmps,16,-0.01059433214640687,882.504
0.110000,3,14,13,250,13003426,exact,,6.88422169480134e-05,1247.196
0.110000,3,14,16,250,16003426,exact,,0.02337258680032322,1237.897
0.110000,3,14,14,250,14003426,exact,,0.005537755218832018,1245.697
0.110000,3,14,15,250,15003426,exact,,-0.0009804211660808875,1244.600
0.110000,3,14,17,250,17003426,exact,,0.001998659634059351,1246.000
0.110000,3,14,19,250,19003426,exact,,0.02413524723053982,1248.395
0.110000,5,22,17,250,17003626,bmps,16,-0.02052582100730704,827.698
0.110000,5,22,18,250,18003626,bmps,16,-0.03878760970166339,829.087
0.150000,4,18,1,250,1003926,bmps,16,-0.008556672976250042,501.506
0.110000,5,22,19,250,19003626,bmps,16,-0.0342860866589984,820.814
0.150000,4,18,2,250,2003926,bmps,16,-0.006420799560869142,506.405
0.150000,4,18,10,250,10003926,bmps,16,0.003661631815989295,499.201
0.150000,4,18,0,250,3926,bmps,16,-0.008810439364462609,522.804
0.150000,4,18,3,250,3003926,bmps,16,-0.001114805729784877,528.102
0.150000,4,18,7,250,7003926,bmps,16,-0.0007705835575468143,527.697
0.150000,4,18,9,250,9003926,bmps,16,-0.004295331976161151,527.993
0.150000,4,18,13,250,13003926,bmps,16,-0.006458817953333693,520.499
0.150000,4,18,4,250,4003926,bmps,16,0.001271618791897339,544.291
0.150000,4,18,6,250,6003926,bmps,16,0.001804785498124318,542.110
0.150000,4,18,8,250,8003926,bmps,16,-0.01132365491380639,542.200
0.150000,4,18,12,250,12003926,bmps,16,-0.01199202873834031,543.993
0.150000,4,18,5,250,5003926,bmps,16,-0.007042846345374812,556.303
0.150000,4,18,14,250,14003926,bmps,16,0.005321053955166974,541.304
0.150000,4,18,11,250,11003926,bmps,16,0.004916545155023556,557.902
0.150000,4,18,15,250,15003926,bmps,16,-0.004564283537873507,548.100
0.150000,4,18,16,250,16003926,bmps,16,-0.001574576164934996,519.999
0.150000,3,14,3,250,3003826,exact,,-0.0006682418764056593,856.494
0.150000,3,14,4,250,4003826,exact,,-0.002134962556720979,867.100
0.150000,4,18,19,250,19003926,bmps,16,-0.01222642597542435,368.399
0.150000,3,14,0,250,3826,exact,,0.003641771639040371,876.101
0.150000,3,14,5,250,5003826,exact,,-0.0008877158946746135,868.003
0.150000,3,14,6,250,6003826,exact,,0.0003032153839792215,867.507
0.150000,3,14,2,250,2003826,exact,,-0.002490623871556721,881.499
0.150000,3,14,1,250,1003826,exact,,0.003850355356275088,887.899
0.150000,3,14,7,250,7003826,exact,,0.004652268619895139,878.303
0.150000,3,14,10,250,10003826,exact,,-0.004600495279952213,799.292
0.150000,3,14,11,250,11003826,exact,,0.001590068491989143,794.493
0.150000,3,14,13,250,13003826,exact,,0.0003331227626468092,783.901
0.150000,3,14,14,250,14003826,exact,,0.006651199243880456,777.205
0.150000,3,14,15,250,15003826,exact,,0.0009001481070919084,775.489
0.150000,3,14,17,250,17003826,exact,,0.001564260197591949,774.106
0.150000,3,14,8,250,8003826,exact,,-0.002327235750396483,821.397
0.150000,3,14,12,250,12003826,exact,,-0.002658874525385741,792.707
0.150000,3,14,18,250,18003826,exact,,0.006670646301438523,776.599
0.150000,3,14,9,250,9003826,exact,,0.003262737114323755,812.024
0.150000,3,14,19,250,19003826,exact,,-0.001010688510207984,779.702
0.150000,3,14,16,250,16003826,exact,,0.00572397940999096,788.813
0.150000,4,18,18,250,18003926,bmps,16,-0.008103867628392891,431.832
0.150000,4,18,17,250,17003926,bmps,16,-0.004589698212255769,457.340
0.110000,6,26,7,250,7003726,bmps,16,-0.05083313815555181,1067.704
0.110000,6,26,1,250,1003726,bmps,16,-0.01818618328053455,1113.519
0.110000,6,26,2,250,2003726,bmps,16,-0.03909307702445882,1109.917
0.110000,6,26,3,250,3003726,bmps,16,-0.0160191014099101,1109.441
