p,r,L,chunk_id,chunk_samples,seed,method,max_bond,cmi,elapsed_sec,attempts
0.150000,8,34,9,200,9004326,bmps,32,-0.0865223959404824,1170.888,1
0.150000,8,34,8,200,8004326,bmps,32,-0.0655545674220562,1171.952,1
0.050000,10,42,5,200,5003526,bmps,32,-0.004888486762080139,2033.627,1
0.050000,10,42,1,200,1003526,bmps,32,-0.008028336787892125,2038.418,1
0.050000,10,42,3,200,3003526,bmps,32,-0.04944115196931435,2038.712,1
0.050000,10,42,0,200,3526,bmps,32,-0.01241125100855349,2038.860,1
0.050000,10,42,7,200,7003526,bmps,32,0.01627782461388385,2039.588,1
0.050000,10,42,4,200,4003526,bmps,32,0.01405797088381294,2040.189,1
0.050000,10,42,2,200,2003526,bmps,32,-0.0009972687885904062,2040.338,1
0.050000,10,42,8,200,8003526,bmps,32,-0.03139231581545809,2043.323,1
0.050000,10,42,6,200,6003526,bmps,32,-0.0191573853279731,2050.859,1
0.150000,10,42,4,200,4004526,bmps,32,-0.1048442655451069,1151.739,1
0.150000,10,42,6,200,6004526,bmps,32,-0.1016093526457772,1099.866,1
0.150000,10,42,8,200,8004526,bmps,32,-0.1127939008566241,1085.505,1
0.150000,10,42,7,200,7004526,bmps,32,-0.135967710687583,1087.775,1
0.150000,10,42,9,200,9004526,bmps,32,-0.1304416846584506,1065.632,1
0.050000,10,42,9,200,9003526,bmps,32,0.00517965509922081,2108.227,1
0.110000,10,42,2,200,2004126,bmps,32,-0.1473018135803928,2150.489,1
0.110000,10,42,1,200,1004126,bmps,32,0.04832866618109651,2151.320,1
0.110000,10,42,6,200,6004126,bmps,32,-0.1208996067207262,2151.599,1
0.110000,10,42,5,200,5004126,bmps,32,-0.1936617302865757,2154.185,1
0.110000,10,42,0,200,4126,bmps,32,-0.07945125643025636,2154.785,1
0.110000,10,42,7,200,7004126,bmps,32,-0.06255594216666509,2160.174,1
0.110000,10,42,9,200,9004126,bmps,32,-0.03385439079753935,2161.710,1
0.150000,10,42,0,200,4526,bmps,32,-0.09112417407434918,1413.207,1
