r,p,cmi
2,0.262626,-2.2625703973155e-05
2,0.267677,6.591528403012603e-05
2,0.272727,1.123263545155595e-05
2,0.277778,-9.858795157953183e-07
2,0.282828,2.933075760605419e-05
2,0.287879,3.077440576947055e-05
2,0.292929,-2.2699558233441052e-06
2,0.297980,1.36654468852484e-05
2,0.303030,1.6179809841673887e-05
2,0.308081,-5.419101756245936e-06
2,0.313131,-2.527093682914483e-06
2,0.318182,2.726892542298742e-06
2,0.323232,5.039148774272917e-06
2,0.328283,-1.693114147798269e-07
2,0.333333,-2.9811418891512176e-07
2,0.338384,1.552321042197491e-08
2,0.343434,-2.001929027443339e-06
2,0.348485,5.090425486926619e-07
2,0.353535,-4.5343101107420127e-07
2,0.358586,7.795082531458774e-08
2,0.363636,-2.9248845634555207e-07
2,0.368687,7.155574460426806e-08
2,0.373737,-1.6023815092580664e-08
2,0.378788,3.200703466177401e-08
2,0.383838,-4.304153771528263e-08
2,0.388889,3.2558676032579114e-08
2,0.393939,-2.2884047155002917e-09
2,0.398990,1.6422421616368864e-08
2,0.404040,-7.423180079513258e-10
2,0.409091,-2.4134575795642376e-09
2,0.414141,-2.305447139860917e-09
2,0.419192,-2.935289735717106e-09
2,0.424242,9.579098758649706e-10
2,0.429293,-1.5544025444569343e-10
2,0.434343,1.3052121516921033e-10
2,0.439394,-1.5068118841554677e-10
2,0.444444,-4.063615222094086e-12
2,0.449495,-3.713374496783217e-12
2,0.454545,3.1511291354036077e-12
2,0.459596,-7.58362261876755e-13
2,0.464646,3.9754866065777607e-13
2,0.469697,-5.6544990911788774e-14
2,0.474747,-4.064304448547773e-15
2,0.479798,-1.8758328224066646e-15
2,0.484848,-2.842170943040401e-16
2,0.489899,-3.6237679523765107e-16
2,0.494949,1.1368683772161603e-16
3,0.000000,0.0
3,0.005051,1.0638534053697412e-11
3,0.010101,4.5114219874164975e-07
3,0.015152,-1.0062961692151262e-05
3,0.020202,0.0014070999334676415
3,0.025253,0.00040832129362105895
3,0.030303,0.0004582503362196668
3,0.035354,0.001016351273628306
3,0.040404,0.006875221532625531
3,0.045455,0.009105126005094413
3,0.050505,0.010344144577955437
3,0.055556,0.003446126559607727
3,0.060606,0.019569775445275172
3,0.065657,0.024569692478369674
3,0.070707,0.013396173062855923
3,0.075758,0.018004566790916676
3,0.080808,0.019200665805723376
3,0.085859,0.021879568876030184
3,0.090909,0.019607140446264614
3,0.095960,0.01829473664974298
3,0.101010,0.028849830795830946
3,0.106061,0.005797423918968242
3,0.111111,0.007401494391123627
3,0.116162,0.009642744882317282
3,0.121212,0.004667958185283411
3,0.126263,-0.001377377072155568
3,0.131313,0.0055994803918375455
3,0.136364,0.005830518585857661
3,0.141414,0.003992629817044928
3,0.146465,-0.0005747963311644213
3,0.151515,3.84758361359161e-06
3,0.156566,0.0009494796658924685
3,0.161616,0.0018182368466999463
3,0.166667,0.0007196412151173917
3,0.171717,0.0019934720675216086
3,0.176768,0.0010315401025735014
3,0.181818,-0.000509784903865139
3,0.186869,0.0005680299823328596
3,0.191919,0.0006839730329743503
3,0.196970,0.00017510370253637575
3,0.202020,9.565974313517245e-06
3,0.207071,-1.5294031745298752e-05
3,0.212121,-0.0003211136021781158
3,0.217172,-0.0002859959975097581
3,0.222222,-0.00011921827514201766
3,0.227273,7.236901882562563e-05
3,0.232323,7.122232218284807e-05
3,0.237374,-3.108667505867402e-05
3,0.242424,-7.702761081644383e-05
3,0.247475,7.172849049567275e-05
3,0.252525,4.104171114296662e-05
3,0.257576,-1.3080181159352833e-07
3,0.262626,1.0858910002980337e-05
3,0.267677,-1.6570738586821676e-05
3,0.272727,-1.333366631634192e-05
3,0.277778,-3.992875690656206e-06
3,0.282828,7.478774526461507e-06
3,0.287879,-3.854701908338143e-06
3,0.292929,-1.96452597108987e-07
3,0.297980,-8.092719034351603e-07
3,0.303030,-2.1207897400188358e-07
3,0.308081,-6.929017472856458e-07
3,0.313131,-4.3441998812454586e-08
3,0.318182,-2.0938641138457114e-07
3,0.323232,-1.8352262149790023e-07
3,0.328283,8.748848989625912e-08
3,0.333333,2.8297074121041986e-07
3,0.338384,-5.342370002381358e-09
3,0.343434,1.347342621613734e-07
3,0.348485,-7.340355359986006e-08
3,0.353535,-4.268524638462168e-08
3,0.358586,-4.423145959719932e-08
3,0.363636,-6.098520103137162e-09
3,0.368687,-3.5413626022773315e-09
3,0.373737,2.5050105705304305e-09
3,0.378788,2.99013956350791e-09
3,0.383838,9.109497511872178e-10
3,0.388889,-1.2746173894129243e-09
3,0.393939,1.0197561834957014e-09
3,0.398990,3.6706666151076207e-10
3,0.404040,7.800858270456956e-11
3,0.409091,-3.444938556640409e-12
3,0.414141,1.0513672066281288e-10
3,0.419192,2.653288788678765e-11
3,0.424242,4.7694612703708114e-12
3,0.429293,-3.7573357758446946e-12
3,0.434343,-9.58664259087527e-13
3,0.439394,-2.502247298252769e-13
3,0.444444,6.283187303779414e-13
3,0.449495,1.4082957022765186e-14
3,0.454545,-2.808064891723916e-14
3,0.459596,9.00968188943807e-15
3,0.464646,-3.694822225952521e-16
3,0.469697,-1.8474111129762604e-16
3,0.474747,7.105427357601002e-17
3,0.479798,3.836930773104541e-16
3,0.484848,5.115907697472721e-16
3,0.489899,2.842170943040401e-17
3,0.494949,-9.947598300641403e-17
